schema,table,constraint_name,column,referenced_schema,referenced_table,referenced_column,on_update,on_delete
public,audit_log,audit_log_session_id_fkey,session_id,public,user_sessions,id,NO ACTION,NO ACTION
public,audit_log,audit_log_user_id_fkey,user_id,public,users,id,NO ACTION,NO ACTION
public,business_units,business_units_created_by_fkey,created_by,public,users,id,NO ACTION,NO ACTION
public,business_units,business_units_parent_id_fkey,parent_id,public,business_units,id,NO ACTION,NO ACTION
public,business_units,business_units_updated_by_fkey,updated_by,public,users,id,NO ACTION,NO ACTION
public,downline_filter_presets,downline_filter_presets_user_id_fkey,user_id,public,users,id,NO ACTION,NO ACTION
public,ib_upgrade_history,ib_upgrade_history_reviewed_by_fkey,reviewed_by,public,users,id,NO ACTION,NO ACTION
public,ib_upgrade_history,ib_upgrade_history_upgraded_by_fkey,requested_by,public,users,id,NO ACTION,NO ACTION
public,ib_upgrade_history,ib_upgrade_history_user_id_fkey,user_id,public,users,id,NO ACTION,NO ACTION
public,ledger_accounts,ledger_accounts_account_class_id_fkey,account_class_id,public,ledger_chart_of_accounts,id,NO ACTION,NO ACTION
public,ledger_entries,ledger_entries_account_id_fkey,account_id,public,ledger_accounts,id,NO ACTION,NO ACTION
public,modules,modules_parent_id_fkey,parent_id,public,modules,id,NO ACTION,NO ACTION
public,mt5_account_equity_snapshots,mt5_account_equity_snapshots_account_id_fkey,account_id,public,mt5_accounts,id,NO ACTION,NO ACTION
public,mt5_account_transactions,mt5_account_transactions_approved_by_fkey,approved_by,public,users,id,NO ACTION,NO ACTION
public,mt5_account_transactions,mt5_account_transactions_counterpart_mt5_account_id_fkey,counterpart_mt5_account_id,public,mt5_accounts,id,NO ACTION,NO ACTION
public,mt5_account_transactions,mt5_account_transactions_counterpart_wallet_id_fkey,counterpart_wallet_id,public,wallets,id,NO ACTION,NO ACTION
public,mt5_account_transactions,mt5_account_transactions_created_by_fkey,created_by,public,users,id,NO ACTION,NO ACTION
public,mt5_account_transactions,mt5_account_transactions_mt5_account_id_fkey,mt5_account_id,public,mt5_accounts,id,NO ACTION,NO ACTION
public,mt5_account_transactions,mt5_account_transactions_psp_detail_id_fkey,psp_detail_id,public,transaction_psp_details,transaction_id,NO ACTION,NO ACTION
public,mt5_account_transactions,mt5_account_transactions_user_id_fkey,user_id,public,users,id,NO ACTION,NO ACTION
public,mt5_accounts,mt5_accounts_account_group_id_fkey,account_group_id,public,mt5_account_groups,id,NO ACTION,NO ACTION
public,mt5_accounts,mt5_accounts_created_by_fkey,created_by,public,users,id,NO ACTION,NO ACTION
public,mt5_accounts,mt5_accounts_updated_by_fkey,updated_by,public,users,id,NO ACTION,NO ACTION
public,mt5_accounts,mt5_accounts_user_id_fkey,user_id,public,users,id,NO ACTION,NO ACTION
public,mt5_deals,mt5_deals_account_id_fkey,account_id,public,mt5_accounts,id,NO ACTION,NO ACTION
public,mt5_deals,mt5_deals_created_by_fkey,created_by,public,users,id,NO ACTION,NO ACTION
public,mt5_deals,mt5_deals_updated_by_fkey,updated_by,public,users,id,NO ACTION,NO ACTION
public,mt5_deals,mt5_deals_user_id_fkey,user_id,public,users,id,NO ACTION,NO ACTION
public,mt5_deals_in,mt5_deals_in_account_id_fkey,account_id,public,mt5_accounts,id,NO ACTION,NO ACTION
public,mt5_deals_in,mt5_deals_in_user_id_fkey,user_id,public,users,id,NO ACTION,NO ACTION
public,mt5_deals_out,mt5_deals_out_account_id_fkey,account_id,public,mt5_accounts,id,NO ACTION,NO ACTION
public,mt5_deals_out,mt5_deals_out_user_id_fkey,user_id,public,users,id,NO ACTION,NO ACTION
public,mt5_deals_out_rebates,mt5_deals_out_rebates_account_id_fkey,account_id,public,mt5_accounts,id,NO ACTION,NO ACTION
public,mt5_deals_out_rebates,mt5_deals_out_rebates_user_id_fkey,user_id,public,users,id,NO ACTION,NO ACTION
public,mt5_demo_accounts,mt5_demo_accounts_account_group_id_fkey,account_group_id,public,mt5_demo_account_groups,id,NO ACTION,NO ACTION
public,mt5_demo_accounts,mt5_demo_accounts_created_by_fkey,created_by,public,users,id,NO ACTION,NO ACTION
public,mt5_demo_accounts,mt5_demo_accounts_updated_by_fkey,updated_by,public,users,id,NO ACTION,NO ACTION
public,mt5_demo_accounts,mt5_demo_accounts_user_id_fkey,user_id,public,users,id,NO ACTION,NO ACTION
public,mt5_position_complete_details,mt5_position_complete_details_account_id_fkey,account_id,public,mt5_accounts,id,NO ACTION,NO ACTION
public,mt5_position_complete_details,mt5_position_complete_details_mt5_position_complete_id_fkey,mt5_position_complete_id,public,mt5_position_completes,id,NO ACTION,NO ACTION
public,mt5_position_complete_details,mt5_position_complete_details_user_id_fkey,user_id,public,users,id,NO ACTION,NO ACTION
public,mt5_position_completes,mt5_position_completes_account_id_fkey,account_id,public,mt5_accounts,id,NO ACTION,NO ACTION
public,mt5_position_completes,mt5_position_completes_user_id_fkey,user_id,public,users,id,NO ACTION,NO ACTION
public,mt5_positions,mt5_positions_account_id_fkey,account_id,public,mt5_accounts,id,NO ACTION,NO ACTION
public,mt5_positions,mt5_positions_created_by_fkey,created_by,public,users,id,NO ACTION,NO ACTION
public,mt5_positions,mt5_positions_updated_by_fkey,updated_by,public,users,id,NO ACTION,NO ACTION
public,mt5_positions,mt5_positions_user_id_fkey,user_id,public,users,id,NO ACTION,NO ACTION
public,permissions,fk_permissions_module_id,module_id,public,modules,id,NO ACTION,SET NULL
public,permissions,permissions_created_by_fkey,created_by,public,users,id,NO ACTION,NO ACTION
public,permissions,permissions_updated_by_fkey,updated_by,public,users,id,NO ACTION,NO ACTION
public,psp_bank_mappings,psp_bank_mappings_bank_id_fkey,bank_id,public,banks,id,NO ACTION,NO ACTION
public,psp_bank_mappings,psp_bank_mappings_psp_provider_id_fkey,psp_provider_id,public,psp_providers,id,NO ACTION,NO ACTION
public,psp_provider_methods,psp_provider_methods_psp_provider_id_fkey,psp_provider_id,public,psp_providers,id,NO ACTION,NO ACTION
public,rebate_accruals,fk_rebate_accruals_executor,executor_user_id,public,users,id,NO ACTION,NO ACTION
public,rebate_accruals,fk_rebate_accruals_mt5_account,mt5_account_id,public,mt5_accounts,id,NO ACTION,NO ACTION
public,rebate_accruals,fk_rebate_accruals_rebate_line,rebate_line_id,public,rebate_lines,id,NO ACTION,NO ACTION
public,rebate_accruals,fk_rebate_accruals_rebate_scheme,rebate_scheme_id,public,rebate_schemes,id,NO ACTION,NO ACTION
public,rebate_accruals,fk_rebate_accruals_settlement,settlement_id,public,rebate_settlements,id,NO ACTION,NO ACTION
public,rebate_accruals,fk_rebate_accruals_user,user_id,public,users,id,NO ACTION,NO ACTION
public,rebate_accruals,fk_rebate_accruals_wallet,wallet_id,public,wallets,id,NO ACTION,NO ACTION
public,rebate_distributions,fk_rebate_dist_mt5_account,mt5_account_id,public,mt5_accounts,id,NO ACTION,NO ACTION
public,rebate_distributions,fk_rebate_dist_rebate_line,rebate_line_id,public,rebate_lines,id,NO ACTION,NO ACTION
public,rebate_distributions,fk_rebate_dist_rebate_scheme,rebate_scheme_id,public,rebate_schemes,id,NO ACTION,NO ACTION
public,rebate_distributions,fk_rebate_dist_user,user_id,public,users,id,NO ACTION,NO ACTION
public,rebate_distributions,fk_rebate_dist_wallet,wallet_id,public,wallets,id,NO ACTION,NO ACTION
public,rebate_earnings,fk_rebate_earnings_user,user_id,public,users,id,NO ACTION,NO ACTION
public,rebate_ledger,rebate_ledger_beneficiary_user_id_fkey,beneficiary_user_id,public,users,id,NO ACTION,NO ACTION
public,rebate_ledger,rebate_ledger_beneficiary_wallet_id_fkey,beneficiary_wallet_id,public,wallets,id,NO ACTION,NO ACTION
public,rebate_ledger,rebate_ledger_created_by_fkey,created_by,public,users,id,NO ACTION,NO ACTION
public,rebate_ledger,rebate_ledger_executor_user_id_fkey,executor_user_id,public,users,id,NO ACTION,NO ACTION
public,rebate_ledger,rebate_ledger_mt5_account_id_fkey,mt5_account_id,public,mt5_accounts,id,NO ACTION,NO ACTION
public,rebate_ledger,rebate_ledger_original_entry_id_fkey,original_entry_id,public,rebate_ledger,id,NO ACTION,NO ACTION
public,rebate_ledger,rebate_ledger_rebate_line_id_fkey,rebate_line_id,public,rebate_lines,id,NO ACTION,NO ACTION
public,rebate_ledger,rebate_ledger_rebate_scheme_id_fkey,rebate_scheme_id,public,rebate_schemes,id,NO ACTION,NO ACTION
public,rebate_lines,rebate_lines_assigned_by_fkey,assigned_by,public,users,id,NO ACTION,NO ACTION
public,rebate_lines,rebate_lines_deactivated_by_fkey,deactivated_by,public,users,id,NO ACTION,NO ACTION
public,rebate_lines,rebate_lines_executor_user_id_fkey,executor_user_id,public,users,id,NO ACTION,NO ACTION
public,rebate_lines,rebate_lines_ib_user_id_fkey,ib_user_id,public,users,id,NO ACTION,NO ACTION
public,rebate_lines,rebate_lines_rebate_scheme_id_fkey,rebate_scheme_id,public,rebate_schemes,id,NO ACTION,NO ACTION
public,rebate_lines,rebate_lines_referral_link_id_fkey,referral_link_id,public,referral_links,id,NO ACTION,NO ACTION
public,rebate_scheme_caps,fk_rebate_scheme_caps_symbol,symbol_id,public,symbols,id,NO ACTION,NO ACTION
public,rebate_scheme_caps,rebate_scheme_caps_account_group_id_fkey,account_group_id,public,mt5_account_groups,id,NO ACTION,NO ACTION
public,rebate_scheme_caps,rebate_scheme_caps_rebate_scheme_id_fkey,rebate_scheme_id,public,rebate_schemes,id,NO ACTION,CASCADE
public,rebate_scheme_caps,rebate_scheme_caps_symbol_custom_group_id_fkey,symbol_custom_group_id,public,symbol_custom_groups,id,NO ACTION,NO ACTION
public,rebate_scheme_caps,rebate_scheme_caps_symbol_group_id_fkey,symbol_group_id,public,symbol_groups,id,NO ACTION,NO ACTION
public,rebate_scheme_rates,fk_rebate_scheme_rates_symbol,symbol_id,public,symbols,id,NO ACTION,NO ACTION
public,rebate_scheme_rates,rebate_scheme_rates_account_group_id_fkey,account_group_id,public,mt5_account_groups,id,NO ACTION,NO ACTION
public,rebate_scheme_rates,rebate_scheme_rates_rebate_scheme_cap_id_fkey,rebate_scheme_cap_id,public,rebate_scheme_caps,id,NO ACTION,NO ACTION
public,rebate_scheme_rates,rebate_scheme_rates_rebate_scheme_id_fkey,rebate_scheme_id,public,rebate_schemes,id,NO ACTION,CASCADE
public,rebate_scheme_rates,rebate_scheme_rates_symbol_custom_group_id_fkey,symbol_custom_group_id,public,symbol_custom_groups,id,NO ACTION,NO ACTION
public,rebate_scheme_rates,rebate_scheme_rates_symbol_group_id_fkey,symbol_group_id,public,symbol_groups,id,NO ACTION,NO ACTION
public,rebate_schemes,rebate_schemes_created_by_fkey,created_by,public,users,id,NO ACTION,NO ACTION
public,rebate_settlements,fk_rebate_settlements_user,user_id,public,users,id,NO ACTION,NO ACTION
public,rebate_settlements,fk_rebate_settlements_wallet,wallet_id,public,wallets,id,NO ACTION,NO ACTION
public,referral_link_clicks,referral_link_clicks_referral_link_id_fkey,referral_link_id,public,referral_links,id,NO ACTION,NO ACTION
public,referral_links,referral_links_user_id_fkey,user_id,public,users,id,NO ACTION,NO ACTION
public,role_module_access,role_module_access_module_id_fkey,module_id,public,modules,id,NO ACTION,CASCADE
public,role_module_access,role_module_access_role_id_fkey,role_id,public,roles,id,NO ACTION,CASCADE
public,role_permissions,role_permissions_permission_id_fkey,permission_id,public,permissions,id,NO ACTION,CASCADE
public,role_permissions,role_permissions_role_id_fkey,role_id,public,roles,id,NO ACTION,CASCADE
public,role_upgrade_history,role_upgrade_history_approved_by_fkey,approved_by,public,users,id,NO ACTION,NO ACTION
public,role_upgrade_history,role_upgrade_history_from_role_id_fkey,from_role_id,public,roles,id,NO ACTION,NO ACTION
public,role_upgrade_history,role_upgrade_history_requested_by_fkey,requested_by,public,users,id,NO ACTION,NO ACTION
public,role_upgrade_history,role_upgrade_history_to_role_id_fkey,to_role_id,public,roles,id,NO ACTION,NO ACTION
public,role_upgrade_history,role_upgrade_history_user_id_fkey,user_id,public,users,id,NO ACTION,NO ACTION
public,roles,roles_business_unit_id_fkey,business_unit_id,public,business_units,id,NO ACTION,NO ACTION
public,roles,roles_created_by_fkey,created_by,public,users,id,NO ACTION,NO ACTION
public,roles,roles_updated_by_fkey,updated_by,public,users,id,NO ACTION,NO ACTION
public,symbol_custom_group_items,symbol_custom_group_items_symbol_custom_group_id_fkey,symbol_custom_group_id,public,symbol_custom_groups,id,NO ACTION,CASCADE
public,symbol_custom_groups,symbol_custom_groups_symbol_group_id_fkey,symbol_group_id,public,symbol_groups,id,NO ACTION,NO ACTION
public,symbols,symbols_symbol_group_id_fkey,symbol_group_id,public,symbol_groups,id,NO ACTION,NO ACTION
public,temp_mt5_accounts,temp_mt5_accounts_batch_id_fkey,batch_id,public,mt5_sync_batches,id,NO ACTION,NO ACTION
public,temp_mt5_deals,temp_mt5_deals_batch_id_fkey,batch_id,public,mt5_sync_batches,id,NO ACTION,NO ACTION
public,temp_mt5_positions,temp_mt5_positions_batch_id_fkey,batch_id,public,mt5_sync_batches,id,NO ACTION,NO ACTION
public,transactions,transactions_destination_mt5_account_id_fkey,destination_mt5_account_id,public,mt5_accounts,id,NO ACTION,NO ACTION
public,transactions,transactions_source_mt5_account_id_fkey,source_mt5_account_id,public,mt5_accounts,id,NO ACTION,NO ACTION
public,transactions,transactions_user_id_fkey,user_id,public,users,id,NO ACTION,NO ACTION
public,user_permission_overrides,user_permission_overrides_created_by_fkey,created_by,public,users,id,NO ACTION,NO ACTION
public,user_permission_overrides,user_permission_overrides_permission_id_fkey,permission_id,public,permissions,id,NO ACTION,NO ACTION
public,user_permission_overrides,user_permission_overrides_updated_by_fkey,updated_by,public,users,id,NO ACTION,NO ACTION
public,user_permission_overrides,user_permission_overrides_user_id_fkey,user_id,public,users,id,NO ACTION,CASCADE
public,user_profiles,user_profiles_user_id_fkey,user_id,public,users,id,NO ACTION,CASCADE
public,user_roles,user_roles_assigned_by_fkey,assigned_by,public,users,id,NO ACTION,NO ACTION
public,user_roles,user_roles_role_id_fkey,role_id,public,roles,id,NO ACTION,NO ACTION
public,user_roles,user_roles_user_id_fkey,user_id,public,users,id,NO ACTION,CASCADE
public,user_sessions,user_sessions_revoked_by_fkey,revoked_by,public,users,id,NO ACTION,NO ACTION
public,user_sessions,user_sessions_user_id_fkey,user_id,public,users,id,NO ACTION,CASCADE
public,users,users_created_by_fkey,created_by,public,users,id,NO ACTION,NO ACTION
public,users,users_deactivated_by_fkey,deactivated_by,public,users,id,NO ACTION,NO ACTION
public,users,users_kyc_reviewed_by_fkey,kyc_reviewed_by,public,users,id,NO ACTION,NO ACTION
public,users,users_referral_link_id_fkey,referral_link_id,public,referral_links,id,NO ACTION,NO ACTION
public,users,users_referrer_user_id_fkey,referrer_user_id,public,users,id,NO ACTION,NO ACTION
public,users,users_rm_user_id_fkey,rm_user_id,public,users,id,NO ACTION,NO ACTION
public,users,users_role_id_fkey,role_id,public,roles,id,NO ACTION,NO ACTION
public,users,users_role_support_id_fkey,role_support_id,public,roles,id,NO ACTION,NO ACTION
public,users,users_updated_by_fkey,updated_by,public,users,id,NO ACTION,NO ACTION
public,wallet_transactions,wallet_transactions_approved_by_fkey,approved_by,public,users,id,NO ACTION,NO ACTION
public,wallet_transactions,wallet_transactions_counterpart_mt5_account_id_fkey,counterpart_mt5_account_id,public,mt5_accounts,id,NO ACTION,NO ACTION
public,wallet_transactions,wallet_transactions_counterpart_wallet_id_fkey,counterpart_wallet_id,public,wallets,id,NO ACTION,NO ACTION
public,wallet_transactions,wallet_transactions_created_by_fkey,created_by,public,users,id,NO ACTION,NO ACTION
public,wallet_transactions,wallet_transactions_psp_detail_id_fkey,psp_detail_id,public,transaction_psp_details,transaction_id,NO ACTION,NO ACTION
public,wallet_transactions,wallet_transactions_user_id_fkey,user_id,public,users,id,NO ACTION,NO ACTION
public,wallet_transactions,wallet_transactions_wallet_id_fkey,wallet_id,public,wallets,id,NO ACTION,NO ACTION
public,wallets,wallets_user_id_fkey,user_id,public,users,id,NO ACTION,NO ACTION
